"cve","mean_counts_7","mean_counts_30","mean_counts_100","mean_counts_14"
"CVE-2010-2741",41.71428571428572,33.266666666666666,9.98,45.642857142857146
"CVE-2010-2861",0.5714285714285714,1.7666666666666666,1.19,0.6428571428571429
"CVE-2010-3622",0.0,1.6333333333333333,0.49,1.7142857142857142
"CVE-2010-4323",0.0,0.0,0.0,0.0
"CVE-2011-0049",18.285714285714285,12.833333333333334,3.85,14.571428571428571
"CVE-2011-0611",0.0,0.0,0.0,0.0
"CVE-2011-1263",0.0,2.033333333333333,0.76,1.1428571428571428
"CVE-2011-1892",0.0,0.0,0.0,0.0
"CVE-2011-3486",2.857142857142857,2.7,0.81,2.0
"CVE-2011-4710",1.2857142857142858,10.833333333333334,5.74,10.642857142857142
"CVE-2012-0021",0.0,0.1666666666666666,0.14,0.07142857142857142
"CVE-2012-0159",0.0,0.0,0.0,0.0
"CVE-2012-0161",0.0,0.0,0.0,0.0
"CVE-2012-0209",0.0,0.0,0.0,0.0
"CVE-2012-0392",0.0,0.0,0.0,0.0
"CVE-2012-0393",0.0,0.0,0.0,0.0
"CVE-2012-0394",0.0,0.0,0.0,0.0
"CVE-2012-1823",5.714285714285714,6.7,3.64,5.571428571428571
"CVE-2012-2311",0.0,0.0,0.0,0.0
"CVE-2012-2335",0.0,0.0,0.0,0.0
"CVE-2012-2336",0.0,0.0,0.0,0.0
"CVE-2012-2539",0.0,0.0666666666666666,0.02,0.0
"CVE-2012-2902",0.0,0.0,0.0,0.0
"CVE-2012-2962",0.0,0.0,0.0,0.0
"CVE-2012-3152",14.571428571428571,26.7,9.64,20.142857142857142
"CVE-2012-3363",187.8571428571429,187.53333333333333,96.94,202.28571428571428
"CVE-2012-4915",0.2857142857142857,2.533333333333333,1.4,2.0
"CVE-2012-4933",1.1428571428571428,1.4666666666666666,0.63,1.4285714285714286
"CVE-2012-4957",0.0,0.2,0.08,0.14285714285714285
"CVE-2012-5469",3.857142857142857,8.266666666666667,2.76,13.285714285714286
"CVE-2013-0087",0.0,0.0,0.0,0.0
"CVE-2013-0333",0.0,0.0,0.0,0.0
"CVE-2013-1599",0.5714285714285714,0.2333333333333333,0.16,0.5
"CVE-2013-1839",0.0,0.0,0.0,0.0
"CVE-2013-1966",6.142857142857143,7.066666666666666,3.67,6.571428571428571
"CVE-2013-2115",0.0,0.0,0.0,0.0
"CVE-2013-2135",140.85714285714286,104.06666666666666,31.22,145.57142857142858
"CVE-2013-2251",0.2857142857142857,0.9333333333333332,0.61,0.21428571428571427
"CVE-2013-2568",0.0,1.8,0.54,0.0
"CVE-2013-2573",0.0,0.0,0.0,0.0
"CVE-2013-3617",28.571428571428573,29.666666666666668,15.1,30.928571428571427
"CVE-2013-3815",124.57142857142856,122.86666666666666,36.86,131.85714285714286
"CVE-2013-4034",0.0,0.0,0.16,0.0
"CVE-2013-4152",0.0,0.0,0.0,0.0
"CVE-2013-4221",0.0,0.0,0.0,0.0
"CVE-2013-4810",0.0,0.0,0.0,0.0
"CVE-2013-4878",0.0,0.0,0.0,0.0
"CVE-2013-4980",1.0,1.2666666666666666,0.51,1.3571428571428572
"CVE-2013-5014",1.7142857142857142,4.366666666666666,2.25,3.7857142857142856
"CVE-2013-5117",0.0,0.2333333333333333,0.17,0.07142857142857142
"CVE-2013-5211",477.4285714285714,560.7,288.24,511.5
"CVE-2013-6429",0.0,0.0,0.0,0.0
"CVE-2013-6719",78.85714285714286,109.46666666666668,35.34,75.21428571428571
"CVE-2013-6720",0.0,0.0,0.0,0.0
"CVE-2013-7285",0.0,0.0,0.0,0.0
"CVE-2013-7471",0.0,0.2,0.08,0.42857142857142855
"CVE-2014-0002",0.0,0.0,0.0,0.0
"CVE-2014-0054",0.0,0.0,0.0,0.0
"CVE-2014-0094",7.428571428571429,9.633333333333333,5.3,7.857142857142857
"CVE-2014-0112",0.0,2.7,0.81,5.785714285714286
"CVE-2014-0113",0.0,0.0,0.0,0.0
"CVE-2014-0114",0.0,0.0,0.0,0.0
"CVE-2014-0130",0.0,0.0,8.12,0.0
"CVE-2014-0423",0.0,0.0,0.0,0.0
"CVE-2014-2321",0.0,0.5666666666666667,0.31,0.5714285714285714
"CVE-2014-2323",0.1428571428571428,0.2333333333333333,0.18,0.07142857142857142
"CVE-2014-2324",15.571428571428571,19.0,9.33,19.071428571428573
"CVE-2014-2617",0.7142857142857143,1.9333333333333331,1.37,0.5714285714285714
"CVE-2014-2846",0.1428571428571428,0.7666666666666667,0.59,0.14285714285714285
"CVE-2014-3704",37.142857142857146,69.2,20.76,52.214285714285715
"CVE-2014-4050",0.0,0.0,0.0,0.0
"CVE-2014-4138",0.0,0.0,0.0,0.0
"CVE-2014-4158",0.0,1.0666666666666669,0.59,0.6428571428571429
"CVE-2014-4725",0.0,0.0,0.0,0.0
"CVE-2014-5460",1.2857142857142858,2.966666666666667,1.56,1.4285714285714286
"CVE-2014-6271",697.1428571428571,779.5333333333333,233.86,601.7142857142857
"CVE-2014-6277",0.0,0.0,0.0,0.0
"CVE-2014-6278",0.0,0.0,0.0,0.0
"CVE-2014-7169",0.0,0.0,0.0,0.0
"CVE-2014-8150",0.4285714285714285,0.2,0.07,0.42857142857142855
"CVE-2014-8389",0.0,0.0,0.0,0.0
"CVE-2014-9094",4.0,0.9333333333333332,0.28,2.0
